date;name;category;value
2003;Nariño;Permanencia y rezago;0
2003;Nariño;Permanencia y rezago;0
2003;Nariño;Permanencia y rezago;0
2003;Nariño;Permanencia y rezago;0
2003;Nariño;Permanencia y rezago;0
2003;Nariño;Permanencia y rezago;0
2003;Nariño;Permanencia y rezago;0
2003;Nariño;Permanencia y rezago;0
2003;Nariño;Permanencia y rezago;0
2003;Nariño;Permanencia y rezago;0
2003;Nariño;Permanencia y rezago;0
2003;Nariño;Permanencia y rezago;0
2003;Nariño;Permanencia y rezago;0
2003;Nariño;Permanencia y rezago;0
2003;Nariño;Permanencia y rezago;0
2003;Nariño;Permanencia y rezago;0
2003;Nariño;Permanencia y rezago;0
2003;Nariño;Permanencia y rezago;0
2003;Nariño;Permanencia y rezago;0
2003;Nariño;Permanencia y rezago;0
2003;Nariño;Permanencia y rezago;0
2003;Nariño;Permanencia y rezago;0
2003;Nariño;Permanencia y rezago;0
2003;Nariño;Permanencia y rezago;0
2003;Nariño;Permanencia y rezago;0
2003;Nariño;Permanencia y rezago;0
2003;Nariño;Permanencia y rezago;0
2003;Nariño;Permanencia y rezago;0
2003;Nariño;Permanencia y rezago;0
2003;Nariño;Permanencia y rezago;0
2003;Nariño;Permanencia y rezago;0
2003;Nariño;Permanencia y rezago;0
2003;Nariño;Permanencia y rezago;0
2003;Nariño;Permanencia y rezago;0
2003;Nariño;Permanencia y rezago;0
2003;Nariño;Permanencia y rezago;0
2003;Nariño;Permanencia y rezago;0
2003;Nariño;Permanencia y rezago;0
2003;Nariño;Permanencia y rezago;0
2003;Nariño;Permanencia y rezago;0
2003;Nariño;Permanencia y rezago;0
2003;Nariño;Permanencia y rezago;0
2003;Nariño;Permanencia y rezago;0
2003;Nariño;Permanencia y rezago;0
2003;Nariño;Permanencia y rezago;0
2003;Nariño;Permanencia y rezago;0
2003;Nariño;Permanencia y rezago;0
2003;Nariño;Permanencia y rezago;0
2003;Nariño;Permanencia y rezago;0
2003;Nariño;Permanencia y rezago;0
2003;Nariño;Permanencia y rezago;0
2003;Nariño;Permanencia y rezago;0
2003;Norte de Santander;Permanencia y rezago;0
2003;Norte de Santander;Permanencia y rezago;0
2003;Norte de Santander;Permanencia y rezago;0
2003;Norte de Santander;Permanencia y rezago;0
2003;Norte de Santander;Permanencia y rezago;0
2003;Norte de Santander;Permanencia y rezago;0
2003;Norte de Santander;Permanencia y rezago;0
2003;Norte de Santander;Permanencia y rezago;0
